Row,Status,Error,Preview
265,✅ Success,,What is 'Probability of Detection' (POD) in NDT and why does it matter for safet...
266,✅ Success,,You are reviewing RT films and you see an indication that looks like a crack. Th...
267,✅ Success,,"During a site visit, you observe that the NDT technician is applying PT penetran..."
268,✅ Success,,What is the 'half-skip' distance in angle beam UT and why is it important for ro...
269,✅ Success,,Explain what 'back-scatter' is in radiography and how the letter 'B' on an RT fi...
270,✅ Success,,A contractor tells you that they use TOFD for 100% weld examination and therefor...
271,✅ Success,,"Why is it important to perform NDE AFTER PWHT for chromium-moly alloy welds, rat..."
272,✅ Success,,Explain what 'geometric unsharpness' (Ug) is in radiography and how reducing the...
273,✅ Success,,You are conducting an NDT procedure review. The UT procedure states '45° refract...
274,✅ Success,,During a walk-down you see the PT technician skipping the development stage and ...
275,✅ Success,,What is the difference between 'calibration' and 'sensitivity setting' in ultras...
276,✅ Success,,A production manager tells you that the project cannot afford 100% RT and wants ...
277,✅ Success,,Explain what 'inter-pass cleaning' means in welding and why it matters for RT ac...
278,✅ Success,,What is 'mode conversion' in ultrasonic testing and why is it particularly probl...
279,✅ Success,,You find an RT film where the weld number is illegible — the lead number marker ...
280,✅ Success,,Describe how you would prepare a punch list for final NDT record review before i...
281,✅ Success,,A client's quality auditor tells you that the PT dwell time on your project has ...
282,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following RT film interpretation record for a 12 mm thick CS butt wel...
283,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A UT calibration record for an angle beam 45° examination shows the following V-...
284,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You receive a completed holiday test (HT) report for a shop-coated 20-inch OD CS...
285,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"Review a PAUT scan display (B-scan, top view) showing an indication that starts ..."
286,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A PT report of a pressure vessel nozzle weld shows the following: Penetrant type...
287,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Calculate the Geometric Unsharpness (Ug) for the following RT exposure parameter...
288,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following MT (MPI) examination setup data and identify all nonconform...
289,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"An RT exposure record shows the following for a 10-inch, 12.7 mm wall pipe weld ..."
290,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are reviewing a PAUT calibration certificate for a phased array probe used o...
291,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A weld map shows 45 girth welds. The NDE log shows 40 RT reports filed. Check wh...
292,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Evaluate the following UT indication disposition for a 20 mm wall pressure pipe ...
293,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following PT indication record and state your acceptance decision per...
294,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A Guided Wave (LRUT) screening survey of a 6-inch insulated CS pipe indicates a ...
295,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An eddy current examination of heat exchanger tubes shows the following indicati...
296,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are reviewing a TOFD D-scan for a 50 mm pressure vessel seam weld. The scan ...
297,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following RT report data for a 19 mm thick pressure vessel seam weld ...
298,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A weld inspection record shows that UT angle-beam examination was completed on W...
299,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Evaluate the following MT examination setup for a CS structural weld using the p...
300,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following UT amplitude correction calculation: Calibration was perfor...
301,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You receive the following summary of NDT examination results for a completed 50-...
302,✅ Success,,A pressure vessel nameplate shows MAWP 50 bar at 300°C and MWP at new and cold c...
303,✅ Success,,"During a pressure vessel external inspection per API 510, the inspector discover..."
304,✅ Success,,A centrifugal pump alignment report shows the following cold alignment readings ...
305,✅ Success,,A pressure relief valve (PRV) has a set pressure of 100 bar. During a bench test...
306,✅ Success,,A pressure vessel inspection reveals weld overlay cladding (Alloy 825) on the in...
307,✅ Success,,"During a mechanical installation inspection of a gearbox, the inspector finds th..."
308,✅ Success,,An API 650 above-ground storage tank inspection reveals a shell plate with a mea...
309,✅ Success,,"During pre-commissioning inspection of a shell-and-tube heat exchanger, the insp..."
310,✅ Success,,A rotating equipment foundation alignment check shows that the pump baseplate ha...
311,✅ Success,,A pressure vessel MAWP re-rating exercise per API 510 proposes to increase the M...
312,✅ Success,,"During installation of a centrifugal compressor, the coupling hub is heated to 1..."
313,✅ Success,,An API 520 Pt.I sizing calculation for a PRV on a gas service vessel uses molecu...
314,✅ Success,,"A heat exchanger tube bundle is being removed for cleaning. During extraction, t..."
315,✅ Success,,"During pre-commissioning run-in testing of a 3-stage centrifugal pump, the vibra..."
316,✅ Success,,A pressure vessel undergoes an alteration (new nozzle installation) per ASME PCC...
317,✅ Success,,"A pressure vessel nameplate shows: MAWP 50 bar, design temperature 300°C, vessel..."
318,✅ Success,,"During storage tank construction per API 650, the bottom plate annular ring weld..."
319,✅ Success,,A split mechanical seal on a centrifugal pump is found to be leaking 5 drops per...
320,✅ Success,,"During an API 510 internal inspection of a hydrogen reformer pressure vessel, th..."
321,✅ Success,,A heat exchanger tube sheet inspection by ECT (eddy current) shows 15% of tubes ...
322,✅ Success,,"During commissioning of a reciprocating compressor, the crankshaft deflection re..."
323,✅ Success,,A pressure vessel fitness-for-service (FFS) assessment per API 579 Level 2 is re...
324,✅ Success,,A reciprocating gas compressor undergoes a performance test per ASME PTC-10. The...
325,✅ Success,,"During a storage tank API 653 inspection, the floor shows MFL (magnetic flux lea..."
326,✅ Success,,A pressure vessel safety device inspection finds that the PRV discharge pipe con...
327,✅ Success,,"During a pressure vessel hydrostatic test, cracks are heard coming from within t..."
328,✅ Success,,A gearbox oil analysis from a newly commissioned compressor drive shows a metall...
329,✅ Success,,A pressure vessel repair per ASME PCC-2 Article 2.1 uses weld overlay to restore...
330,✅ Success,,An API 653 tank inspection reveals that the shell-to-bottom weld (annular weld) ...
331,✅ Success,,"During mechanical completion inspection of a pressure vessel, the inspector noti..."
332,✅ Success,,A vibration spectrum analysis of a centrifugal pump shows a dominant frequency a...
333,✅ Success,,An ASME VIII Div.1 pressure vessel undergoes a repair involving welding on the s...
334,✅ Success,,"During API 510 inspection, a vertical pressure vessel shows evidence of external..."
335,✅ Success,,A pressure vessel PWHT record shows the thermocouple attached to a weld reached ...
336,✅ Success,,An API 520 back-pressure assessment for a conventional PRV (not balanced bellows...
337,✅ Success,,"During pre-commissioning checks of a fire water pump per SAES-B-017, the diesel ..."
338,✅ Success,,"During an API 510 inspection of a process vessel, the inspector observes that th..."
339,✅ Success,,A pressure vessel inspection per API 510 reveals stress corrosion cracking (SCC)...
340,✅ Success,,"During a cooling tower fan gearbox inspection, the inspector finds that the gear..."
341,✅ Success,,An ASME VIII Div.1 pressure vessel is scheduled for replacement of all nozzle ga...
342,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During a process plant turnaround, a heat exchanger shell is found to have exten..."
343,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A new centrifugal pump (API 610) has been installed and undergoes site acceptanc...
344,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are tasked with developing the mechanical completion inspection checklist fo...
345,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An API 510 inspection reveals that a pressure vessel has been operating for 10 y...
346,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A pressure vessel rupture disc is found to have burst at a pressure 15% below th...
347,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the complete inspection and testing programme for a new above-ground st...
348,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A hot oil system pump shaft seal is failing repeatedly — the seal has been repla...
349,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An ARAMCO project requires a vendor surveillance visit to a pressure vessel fabr...
350,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A safety-critical PRV serving a flare system at a refinery is found to be stuck ...
351,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the criteria and procedure for determining whether a pressure vessel wi...
352,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During commissioning of a new reciprocating compressor, the mechanical QC inspec..."
353,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are the Mechanical QC Lead for a process plant expansion project. Describe t...
354,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An API 653 internal tank inspection finds extensive underside pitting on the bot...
355,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the key quality records and documentation that must be assembled in the...
356,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A critical compressor drive coupling fails catastrophically 6 months after commi...
357,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe how you would evaluate the acceptability of an existing pressure vessel...
358,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are conducting a pre-startup inspection of a fired heater (process furnace) ...
359,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Compare the API 510 and ASME PCC-2 requirements for welded repairs on pressure v...
360,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During commissioning of a new heat exchanger, the tube-side pressure test (1.5× ..."
361,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You discover during a QC audit that a 5-year mechanical inspection programme for...
362,✅ Success,,A maintenance supervisor tells you he has been reusing the same spiral-wound gas...
363,✅ Success,,"Without looking at an API standard, explain what the 'Nelson Curve' is and why i..."
364,✅ Success,,A pump's mechanical seal is leaking and production wants to keep running. What f...
365,✅ Success,,Explain what 'hot alignment' is and why it is necessary in addition to cold alig...
366,✅ Success,,You witness a pressure vessel being pressurised for hydrostatic testing without ...
367,✅ Success,,What does 'creep' mean in the context of pressure vessel materials and at what c...
368,✅ Success,,You are inspecting a fin-fan air cooler. The operator says one of the fans has b...
369,✅ Success,,Explain the difference between a 'pressure test' and a 'leak test' and when each...
370,✅ Success,,A pressure vessel inspector notices that the vessel shell shows a slight outward...
371,✅ Success,,What is 'fouling factor' in heat exchanger design and how does fouling affect me...
372,✅ Success,,A maintenance team wants to use a threaded plug to repair a through-hole in a pr...
373,✅ Success,,Explain what 'settling' of a tank foundation means and why it matters for storag...
374,✅ Success,,The production team wants to bypass the low-pressure alarm on a pressure vessel ...
375,✅ Success,,Explain what 'NPSH' (Net Positive Suction Head) is and why it is critical for ce...
376,✅ Success,,You are reviewing a fabrication traveller and notice that the pressure test was ...
377,✅ Success,,What is 'corrosion under insulation' (CUI) and name three types of equipment tha...
378,✅ Success,,A pressure vessel owner wants to operate a vessel rated for 100 bar at 250°C at ...
379,✅ Success,,You are inspecting a fired heater and notice that one tube appears to have a sli...
380,✅ Success,,Describe three key differences between an ASME VIII Div.1 and Div.2 pressure ves...
381,✅ Success,,A maintenance engineer proposes to repair an internal crack in a pressure vessel...
382,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"A pressure vessel shell has the following data: Material SA-516 Gr.70, allowable..."
383,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A pump alignment report shows the following cold laser alignment readings: Horiz...
384,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A PRV on a gas separator has a set pressure of 80 bar and a maximum allowable ac...
385,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following PRV bench test data and state the pass/fail determination p...
386,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A storage tank API 653 inspection report shows the following shell thickness mea...
387,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following mechanical completion checklist for a centrifugal pump and ...
388,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A fired heater tube inspection UT report shows the following thickness readings ...
389,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review this heat exchanger tube ECT summary for a 20-year-old cooling water heat...
390,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"A vibration spectrum for a 3,000 RPM centrifugal pump shows dominant peaks at: 5..."
391,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A pressure vessel FFS assessment per API 579 Level 1 for a local thinned area (L...
392,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"Evaluate the following pump cold alignment record (laser alignment, soft-foot co..."
393,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following ASME VIII pressure vessel data report (U-1 form data) and i...
394,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A spring-loaded PRV has a set pressure of 120 bar. Calculate the maximum back pr...
395,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During a storage tank bottom MFL survey, the technician reports 'Severity 3' ind..."
396,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A fired heater duty calculation shows that the required heat duty is 10 MW at 85...
397,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review a mechanical run test data sheet for a centrifugal pump (API 610): Design...
398,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A heat exchanger shell is to be re-rated from 25 bar to 30 bar at 200°C using SA...
399,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During a heat exchanger pre-commissioning water flush, the flushing water from t..."
400,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You receive a pressure vessel completion package for a new ASME VIII Div.1 vesse...
401,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A static equipment mechanical QC audit of a fabrication shop reveals the followi...
402,✅ Success,,During incoming inspection of a motor control centre (MCC) at a gas processing p...
403,✅ Success,,A 33 kV substation cable termination is found to have been installed without str...
404,✅ Success,,An electrical inspector is reviewing the installation of a motor feeder cable. T...
405,✅ Success,,"During the commissioning of a 6.6 kV switchgear bus, an insulation resistance (I..."
406,✅ Success,,An ARAMCO project installs an explosionproof (Ex d IIB T3) junction box in an ar...
407,✅ Success,,During a pre-commissioning continuity and loop check of a 480V motor control cir...
408,✅ Success,,"During cable pulling inspection, the electrical inspector measures the maximum p..."
409,✅ Success,,"During commissioning of a 132 kV overhead transmission line, a phase transpositi..."
410,✅ Success,,An electrical QC Inspector performs a thermal imaging (IR scan) of a 415V main s...
411,✅ Success,,"A 6.6 kV, 1,000 kVA transformer installation inspection shows the primary HV fus..."
412,✅ Success,,"During inspection of a cable tray installation, the electrical inspector observe..."
413,✅ Success,,A protection relay engineer sets a motor protection relay with the following par...
414,✅ Success,,An earthing system inspection at a new substation reveals that the earth grid re...
415,✅ Success,,"During inspection of a high-voltage (HV) cable joint installation, the inspector..."
416,✅ Success,,"A power factor correction capacitor bank (11 kV, 5 MVAR) is inspected. The capac..."
417,✅ Success,,"During testing of a 415V distribution board, the measured prospective short-circ..."
418,✅ Success,,An electrical QC Inspector is reviewing the protection scheme for a 6.6 kV motor...
419,✅ Success,,A 415V switchboard busbar inspection shows that the busbar material is painted a...
420,✅ Success,,A substation transformer protection scheme includes a Buchholz relay. During com...
421,✅ Success,,An ARAMCO electrical inspector is reviewing the design of a lighting circuit for...
422,✅ Success,,"During testing of a UPS (Uninterruptible Power Supply) system, the inspector per..."
423,✅ Success,,A new 11 kV/415V distribution transformer has just been installed. Before energi...
424,✅ Success,,An electrical inspector reviews a cable schedule and notes that an 8-core armour...
425,✅ Success,,An electrical inspection of a control panel reveals that wire identification lab...
426,✅ Success,,"A 415V, 50 Hz power supply is connected to a 60 Hz motor in an emergency supply ..."
427,✅ Success,,"A motor's insulation class is H (maximum continuous operating temperature 180°C,..."
428,✅ Success,,"During a loop check of a motor start circuit, the QC Inspector finds that the mo..."
429,✅ Success,,An electrical QC inspector is reviewing HVAC room condition records for a 415V m...
430,✅ Success,,"During commissioning of a 415V motor control panel, the QC Inspector performs an..."
431,✅ Success,,An electrical QC audit finds that the project uses Class II (double-insulated) p...
432,✅ Success,,"A 6.6 kV synchronous motor (2,500 kW) is being commissioned. During the synchron..."
433,✅ Success,,An ARAMCO electrical QC inspector finds that the project electrical engineer has...
434,✅ Success,,An electrical QC Inspector witnesses a HiPot (high-potential dielectric withstan...
435,✅ Success,,"A motor rated 415V, 50 Hz is connected to a VFD (Variable Frequency Drive). The ..."
436,✅ Success,,An ARAMCO electrical inspector is checking the isolation coordination for a new ...
437,✅ Success,,A 415V cable tray inspection shows armoured cables (SWA) with the armour bonded ...
438,✅ Success,,"During a SAT (Site Acceptance Test) for a 132 kV GIS (Gas-Insulated Switchgear),..."
439,✅ Success,,An electrical inspector reviews the cable schedule for a new installation and fi...
440,✅ Success,,An electrical inspector observes that a welder's power return cable (earth clamp...
441,✅ Success,,An electrical QC Inspector conducts a final inspection of a substation before en...
442,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the complete commissioning test sequence for a new 11 kV/415V distribut...
443,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An ARAMCO gas plant is experiencing repeated electrical motor failures in a spec...
444,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are the Electrical QC Lead for a new substation installation. The TPIA (Thir...
445,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An electrical audit of a construction site reveals that site electricians are wo...
446,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"Design the protection relay scheme for a 6.6 kV, 1,500 kW critical process motor..."
447,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the inspection and testing programme for a new 132 kV outdoor high-volt...
448,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An ARAMCO project requires installation of 10 km of 33 kV cable. Describe the co...
449,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Develop a comprehensive ITP (Inspection and Test Plan) for the installation and ...
450,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An ARAMCO electrical audit finds that thermal imaging of a 415V switchboard has ...
451,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,The SAES-P-111 earthing and bonding requirements for a classified area in a gas ...
452,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"Describe what a 'partial discharge' (PD) test is for HV cables and switchgear, w..."
453,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Explain the hazards associated with arc flash in electrical switchgear and descr...
454,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An ARAMCO new project requires all Ex-rated electrical equipment to be certified...
455,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the quality control requirements for the installation and testing of a ...
456,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are responsible for electrical QC on an offshore oil platform. An emergency ...
457,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the commissioning verification requirements for an Automatic Transfer S...
458,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An ARAMCO cable tray installation inspection on a process plant reveals that the...
459,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A new ARAMCO solar photovoltaic (PV) power system is being installed to suppleme...
460,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the inspection requirements and testing methods for a high-voltage (33 ...
461,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You are reviewing the electrical IFC (Issued For Construction) drawings for a ne...
462,✅ Success,,"A safety officer asks you to explain, in plain language, the difference between ..."
463,✅ Success,,An electrician asks why he needs to check the direction of rotation of a motor b...
464,✅ Success,,"During a pre-energisation walk-down of a new switchroom, you notice a can of pai..."
465,✅ Success,,Explain what 'power factor' is and why it matters to the electrical QC Inspector...
466,✅ Success,,You observe an electrician connecting a cable termination to a 33 kV cable witho...
467,✅ Success,,A site supervisor tells you that the motor earth continuity test result of 0.8 Ω...
468,✅ Success,,"What is the 'Polarisation Index' (PI) in insulation resistance testing, and what..."
469,✅ Success,,During cable tray inspection you observe signal cables and power cables sharing ...
470,✅ Success,,"Explain, in plain terms, what happens during a cable insulation 'breakdown' and ..."
471,✅ Success,,An ARAMCO project manager wants to start electrical commissioning of a process u...
472,✅ Success,,What is 'earth fault loop impedance' and why do you measure it during commission...
473,✅ Success,,During a switchroom walk-down you notice that one main incoming circuit breaker ...
474,✅ Success,,Describe the difference between an IP65 and IP54 enclosure and when each would b...
475,✅ Success,,A site electrician proposes using a 63A socket outlet and extension lead to powe...
476,✅ Success,,Explain what a 'discrimination study' (selectivity study) is in electrical prote...
477,✅ Success,,You observe a technician using a contact voltage tester (non-contact pen-type te...
478,✅ Success,,The project electrician says that he doesn't need to do cable continuity checks ...
479,✅ Success,,An ARAMCO project technical requirement states that all cable trays must be bond...
480,✅ Success,,Explain what 'load shedding' means in the context of an electrical power managem...
481,✅ Success,,A worker receives a 415V electric shock from a faulty tool but survives. After f...
482,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following cable installation inspection checklist findings and classi...
483,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A 6.6 kV motor insulation resistance test gives the following readings with a 5 ...
484,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following transformer test data and identify any discrepancies that s...
485,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An earth grid resistance test at a new 33/11 kV substation gives the following r...
486,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following loop check record for a motor start circuit and identify al...
487,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A 415V feeder breaker is rated 250 A with a short-circuit trip (magnetic) set at...
488,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"Review the following MV cable test report (33 kV cable, 500 m run) and identify ..."
489,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"A fluorescent luminaire in a Zone 2, IIA, T4 classified area is found to have it..."
490,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An IFC drawing for a 415V DB shows a 63 A MCB protecting a 35 mm² Cu cable. Veri...
491,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During commissioning of a 132 kV distance protection relay (21), the protection ..."
492,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,You receive a cable schedule for a 415V distribution system. The schedule shows ...
493,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following incoming inspection report for a batch of 12 Ex d IIC T6 ju...
494,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An electrical QC Inspector is reviewing the relay settings file for a 11 kV bus ...
495,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,"During a site thermal imaging survey of a 415V switchboard under full load, the ..."
496,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following cable drum test data received from the manufacturer before ...
497,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An ARAMCO project requires all electrical equipment in a classified area to have...
498,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,A 415V motor control circuit drawing shows a 3-phase motor with: direct-on-line ...
499,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,An electrical QC review of project documentation reveals the following: (a) 5 ou...
500,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Calculate the arc flash incident energy at a 415V switchboard location using the...
501,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Review the following commissioning completion certificate checklist for a 11 kV ...
502,✅ Success,,"During loop testing of a 4-20mA pressure transmitter, the applied pressure is at..."
503,✅ Success,,Which protocol is typically used for smart instrument calibration and diagnostic...
504,✅ Success,,A thermocouple (Type K) is connected to a temperature transmitter using copper w...
505,✅ Success,,"An Orifice Plate is used for flow measurement. To measure flow accurately, the f..."
506,✅ Success,,A Safety Instrumented System (SIS) valve is required to be 'Fail-Safe'. The proc...
507,✅ Success,,"During calibration of an RTD (Pt100), the resistance measured at 0°C should be:"
508,✅ Success,,What is the purpose of an intrinsically safe (IS) barrier in an instrument loop?
509,✅ Success,,A control valve is 'hunting' (oscillating continuously around the setpoint). Whi...
510,✅ Success,,"In impulse piping for a liquid flow transmitter (DP type), where should the tran..."
511,✅ Success,,A pressure switch is calibrated to actuate (trip) at 100 psi and reset at 90 psi...
512,✅ Success,,What is the standard pneumatic signal range used in process instrumentation?
513,✅ Success,,"During a loop check, the field instrument is disconnected, and a loop calibrator..."
514,✅ Success,,"According to IEC 61511, SIL stands for:"
515,✅ Success,,A Coriolis mass flowmeter measures:
516,✅ Success,,"In a hazardous area classification (Zone 1), a junction box is marked Ex d IIC T..."
517,✅ Success,,A level transmitter uses a bubbler system. The purge gas flows through a dip tub...
518,✅ Success,,"When calibrating an instrument, 'zero shift' refers to:"
519,✅ Success,,Which type of control valve is best suited for tight shut-off and throttling of ...
520,✅ Success,,What is the function of a 'Positioner' on a pneumatic control valve?
521,✅ Success,,"In an instrument air system, what is the typical requirement for the air dew poi..."
522,✅ Success,,A radar level transmitter uses FMCW (Frequency Modulated Continuous Wave) techno...
523,✅ Success,,Which material is commonly used for the sensing diaphragm of a pressure transmit...
524,✅ Success,,"In a Foundation Fieldbus network, what is the role of the LAS (Link Active Sched..."
525,✅ Success,,A temperature transmitter configured for a PT100 RTD (3-wire) shows a slightly h...
526,✅ Success,,What is the primary advantage of a vortex shedding flowmeter?
527,✅ Success,,Which type of valve characteristic provides equal percentage changes in flow for...
528,✅ Success,,"During a site acceptance test (SAT), an instrument inspector verifies the cable ..."
529,✅ Success,,A magnetic flowmeter requires the fluid being measured to be:
530,✅ Success,,"In an instrument loop diagram (ILD), a symbol showing a circle with a solid hori..."
531,✅ Success,,Which of the following is required for installing instruments in a SIL 3 safety ...
532,✅ Success,,A technician is calibrating a DP transmitter for open tank level measurement. Th...
533,✅ Success,,For a closed tank level measurement using a DP transmitter with a dry leg (wet g...
534,✅ Success,,What is the typical failure mode for a thermocouple?
535,✅ Success,,Which calibration parameter is adjusted first when performing a full calibration...
536,✅ Success,,"In an orifice plate installation, what is the purpose of the 'weep hole' (or ven..."
537,✅ Success,,The 'Cv' of a control valve is defined as:
538,✅ Success,,"When using a deadweight tester to calibrate a pressure gauge, the accuracy of th..."
539,✅ Success,,Which NDT method is typically used to inspect the integrity of the seal welds on...
540,✅ Success,,A 5-valve manifold is commonly used with which type of transmitter?
541,✅ Success,,"In hazardous area wiring, what is the primary purpose of 'cable glands' (e.g., E..."
542,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Describe the step-by-step procedure for performing a wet calibration on a DP tra...
543,❌ Failed,Discipline and question are required. MCQ points must be 1; other question types must be 1-10.,Explain the principle of operation of a Coriolis Mass Flowmeter. Discuss its adv...
